date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-01,California,State,Alpha,1.0,1.72,,
2021-01-01,California,State,Gamma,0.0,0.0,,
2021-01-01,California,State,Other,29.0,50.0,,
2021-01-01,California,State,Omicron,1.0,1.72,,
2021-01-01,California,State,Total,58.0,100.0,,
2021-01-01,California,State,Mu,0.0,0.0,,
2021-01-01,California,State,Delta,0.0,0.0,,
2021-01-01,California,State,Lambda,0.0,0.0,,
2021-01-01,California,State,Beta,0.0,0.0,,
2021-01-01,California,State,Epsilon,27.0,46.55,,
2021-01-02,California,State,Epsilon,45.0,42.86,,
2021-01-02,California,State,Delta,1.0,0.95,,
2021-01-02,California,State,Beta,0.0,0.0,,
2021-01-02,California,State,Mu,0.0,0.0,,
2021-01-02,California,State,Gamma,0.0,0.0,,
2021-01-02,California,State,Other,52.0,49.52,,
2021-01-02,California,State,Total,105.0,100.0,,
2021-01-02,California,State,Omicron,1.0,0.95,,
2021-01-02,California,State,Lambda,0.0,0.0,,
2021-01-02,California,State,Alpha,6.0,5.71,,
2021-01-03,California,State,Total,266.0,100.0,,
2021-01-03,California,State,Alpha,5.0,1.88,,
2021-01-03,California,State,Other,139.0,52.26,,
2021-01-03,California,State,Gamma,1.0,0.38,,
2021-01-03,California,State,Delta,2.0,0.75,,
2021-01-03,California,State,Beta,0.0,0.0,,
2021-01-03,California,State,Omicron,2.0,0.75,,
2021-01-03,California,State,Lambda,0.0,0.0,,
2021-01-03,California,State,Mu,0.0,0.0,,
2021-01-03,California,State,Epsilon,117.0,43.98,,
2021-01-04,California,State,Delta,5.0,0.4,,
2021-01-04,California,State,Gamma,0.0,0.0,,
2021-01-04,California,State,Omicron,0.0,0.0,,
2021-01-04,California,State,Mu,0.0,0.0,,
2021-01-04,California,State,Lambda,0.0,0.0,,
2021-01-04,California,State,Alpha,5.0,0.4,,
2021-01-04,California,State,Other,562.0,44.6,,
2021-01-04,California,State,Epsilon,688.0,54.6,,
2021-01-04,California,State,Beta,0.0,0.0,,
2021-01-04,California,State,Total,1260.0,100.0,,
2021-01-05,California,State,Alpha,16.0,2.03,,
2021-01-05,California,State,Mu,0.0,0.0,,
2021-01-05,California,State,Beta,0.0,0.0,,
2021-01-05,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Total,787.0,100.0,,
2021-01-05,California,State,Omicron,0.0,0.0,,
2021-01-05,California,State,Delta,0.0,0.0,,
2021-01-05,California,State,Other,356.0,45.24,,
2021-01-05,California,State,Epsilon,415.0,52.73,,
2021-01-05,California,State,Gamma,0.0,0.0,,
2021-01-06,California,State,Lambda,0.0,0.0,,
2021-01-06,California,State,Total,361.0,100.0,,
2021-01-06,California,State,Gamma,0.0,0.0,,
2021-01-06,California,State,Other,154.0,42.66,,
2021-01-06,California,State,Alpha,3.0,0.83,,
2021-01-06,California,State,Mu,0.0,0.0,,
2021-01-06,California,State,Beta,0.0,0.0,,
2021-01-06,California,State,Delta,3.0,0.83,,
2021-01-06,California,State,Omicron,2.0,0.55,,
2021-01-06,California,State,Epsilon,199.0,55.12,,
2021-01-07,California,State,Alpha,15.0,5.03,7.28571428571,1.626794258373
2021-01-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-07,California,State,Omicron,2.0,0.67,1.14285714285,0.255183413078
2021-01-07,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-07,California,State,Other,128.0,42.95,202.85714285714,45.295055821372
2021-01-07,California,State,Gamma,0.0,0.0,0.14285714285,0.031897926635
2021-01-07,California,State,Epsilon,153.0,51.34,234.85714285714,52.44019138756
2021-01-07,California,State,Total,298.0,100.0,447.85714285714,100.0
2021-01-07,California,State,Delta,0.0,0.0,1.57142857142,0.350877192982
2021-01-08,California,State,Omicron,0.0,0.0,1.0,0.21718895439
2021-01-08,California,State,Epsilon,78.0,53.42,242.14285714285,52.590753955942
2021-01-08,California,State,Other,64.0,43.84,207.85714285714,45.144275519702
2021-01-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-08,California,State,Gamma,0.0,0.0,0.14285714285,0.031026993484
2021-01-08,California,State,Total,146.0,100.0,460.42857142857,100.0
2021-01-08,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-08,California,State,Delta,2.0,1.37,1.85714285714,0.403350915296
2021-01-08,California,State,Alpha,2.0,1.37,7.42857142857,1.613403661185
